Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,ML,DL,CNN,LSTM,HLA
Arginine methylation controls the strength of γc-family cytokine signaling in T cell maintenance,"PRMT arginine methyltransferases mediate post-translational modification. Takayanagi and colleagues show that a lack of PRMT5 in cells of the T cell lineage compromises their response to cytokines dependent on the common γ-chain, due to aberrant splicing of mRNA transcripts encoding the common γ-chain and its associated kinase JAK3.",Maia InoueKazuo OkamotoHiroshi Takayanagi,15 Oct 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0222-z/MediaObjects/41590_2018_222_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0222-z,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Fibrin-targeting immunotherapy protects against neuroinflammation and neurodegeneration,Fibrin deposition occurs after the blood–brain barrier is breached. Akassoglou and colleagues generate a therapeutic monoclonal antibody that targets a cryptic fibrin epitope to suppress activation of innate immune responses in the CNS and diminish neuroinflammation.,Jae Kyu RyuVictoria A. RafalskiKaterina Akassoglou,15 Oct 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0232-x/MediaObjects/41590_2018_232_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0232-x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unique pattern of neutrophil migration and function during tumor progression,"Neutrophils are linked to tumor progression. Gabrilovich and colleagues demonstrate that neutrophils have tumor-stage-dependent alterations in motility, function and metabolism: in early phases, they are highly motile with altered metabolism, whereas at later stages, they become highly suppressive.",Sima PatelShuyu FuDmitry I. Gabrilovich,15 Oct 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0229-5/MediaObjects/41590_2018_229_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0229-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIK signaling axis regulates dendritic cell function in intestinal immunity and homeostasis,"The kinase NIK activates a noncanonical NF-κB2 signaling pathway. Shao-Cong Sun and colleagues show that conditional loss of NIK in dendritic cells alters gut microbiome composition and TH17 cell responses, as a result of reduced expression of IL-23, pIgR and fecal IgA transcytosis.",Zuliang JieJin-Young YangShao-Cong Sun,24 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0206-z/MediaObjects/41590_2018_206_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0206-z,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sex-hormone-driven innate antibodies protect females and infants against EPEC infection,"Kubes and colleagues describe the presence in females of estrogen-driven, innate antibodies against specific oligosaccharides in EPEC that are maternally transferrable to offspring in mice and humans.",Zhutian ZengBas G. J. SurewaardPaul Kubes,24 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0211-2/MediaObjects/41590_2018_211_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0211-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Infection perturbs Bach2- and Bach1-dependent erythroid lineage ‘choice’ to cause anemia,"Environmental cues instruct cell fate during hematopoiesis. Igarashi and colleagues show that the transcription factors Bach1 and Bach2 promote erythropoiesis and suppress myelopoiesis. Infection and inflammatory signals suppress Bach expression, which results in anemia.",Hiroki KatoAri Itoh-NakadaiKazuhiko Igarashi,24 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0202-3/MediaObjects/41590_2018_202_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0202-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKILA lncRNA promotes tumor immune evasion by sensitizing T cells to activation-induced cell death,"lncRNAs can regulate immune responses at a number of levels. Song and colleagues demonstrate that the lncRNA NKILA is expressed by tumor-associated cytotoxic T cells, and this predisposes them to activation-induced cell death and escape of tumors from immunologically mediated destruction.",Di HuangJianing ChenErwei Song,17 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0207-y/MediaObjects/41590_2018_207_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0207-y,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NK cell receptor NKG2D sets activation threshold for the NCR1 receptor early in NK cell development,"Polić and colleagues show that the activating receptor NKG2D specifically sets the activation threshold for the activating receptor NCR1, providing a mechanism distinct from previously known mechanisms of NK cell education.",Vedrana JelenčićMarko ŠestanBojan Polić,17 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0209-9/MediaObjects/41590_2018_209_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0209-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An immunoregulatory and tissue-residency program modulated by c-MAF in human TH17 cells,TH17 cells contribute to anti-fungal and anti-bacterial adaptive immune responses. Sallusto and colleagues show that the transcription factor c-Maf has an immunoregulatory role in directing gene expression and tissue residency in human IL-10+ TH17 cell subsets.,Dominik AschenbrennerMathilde FoglieriniFederica Sallusto,10 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0200-5/MediaObjects/41590_2018_200_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0200-5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Combating herpesvirus encephalitis by potentiating a TLR3–mTORC2 axis,The receptor TLR3 is essential for effective responses to herpes simplex virus type 1. Miyake and colleagues demonstrate that a neuron- and astrocyte-intrinsic pathway of TLR3 and the metabolic checkpoint kinase complex mTORC2 is needed to prevent fulminant infection with this virus and encephalitis.,Ryota SatoAkihisa KatoKensuke Miyake,10 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0203-2/MediaObjects/41590_2018_203_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0203-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissue signals imprint ILC2 identity with anticipatory function,"Locksley et al. show tissue-specific imprinting dictates the activating receptors ILC2s express, even in germ-free mice. Skin ILC2s are preferentially activated by IL-18, and IL-18 contributes to inflammation in a mouse model of atopic dermatitis.",Roberto R. Ricardo-GonzalezSteven J. Van DykenRichard M. Locksley,10 Sept 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0201-4/MediaObjects/41590_2018_201_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0201-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endogenous glucocorticoids control host resistance to viral infection through the tissue-specific regulation of PD-1 expression on NK cells,Ugolini and colleagues show that glucocorticoid signaling induces expression of the checkpoint receptor PD-1 on NK cells to control immunopathology in a tissue-specific way.,Linda QuatriniElisabeth WieduwildSophie Ugolini,20 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0185-0/MediaObjects/41590_2018_185_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0185-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disruption of an antimycobacterial circuit between dendritic and helper T cells in human SPPL2a deficiency,Primary immunodeficiency can predispose patients to mycobacterial disease. Casanova and colleagues identify novel human mutations in the enzyme SPPL2A that result in selective accumulation of CD74 in a dendritic cell subset and lead to their death and the failure to mount effective TH1 responses.,Xiao-Fei KongRuben Martinez-BarricarteJean-Laurent Casanova,20 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0178-z/MediaObjects/41590_2018_178_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0178-z,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Control of inducible gene expression links cohesin to hematopoietic progenitor self-renewal and differentiation,Cohesin is a chromatin-binding factor that interacts at CTCF motifs to organize chromatin looping domains. Merkenschlager and colleagues show that cohesin regulates the inducible expression of inflammatory genes in macrophages and HSPCs and in human AML.,Sergi CuarteroFelix D. WeissMatthias Merkenschlager,20 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0184-1/MediaObjects/41590_2018_184_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0184-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperactivated PI3Kδ promotes self and commensal reactivity at the expense of optimal humoral immunity,"Patients who express a hyperactive mutant of the kinase PI3K exhibit defective humoral immunity. Preite et al. show that overactive PI3K leads to defective class-switched antigen-specific responses to immunization, despite augmented germinal-center formation and reactivity to commensal microbes and self antigens.",Silvia PreiteJennifer L. CannonsPamela L. Schwartzberg,20 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0182-3/MediaObjects/41590_2018_182_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0182-3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
IgG3 regulates tissue-like memory B cells in HIV-infected individuals,Circulating IgG3 increases in chronic HIV infection. Moir and colleagues describe a negative regulatory role of secreted IgG3 in response to chronic HIV infection through its action on nonconventional CD27– memory B cells.,Lela KardavaHaewon SohnSusan Moir,13 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0180-5/MediaObjects/41590_2018_180_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0180-5,0,1,0,1,0,0,0,0,0,0,0,0,0,0
PLD3 and PLD4 are single-stranded acid exonucleases that regulate endosomal nucleic-acid sensing,Nemazee and colleagues show that PLD3 and PLD4 are endolysosomal exonucleases that digest ingested nucleic acids and thereby prevent activation of endosomal TLRs. Mice that lack PLD3 and PLD4 develop autoinflammatory disease.,Amanda L. GavinDeli HuangDavid Nemazee,13 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0179-y/MediaObjects/41590_2018_179_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0179-y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human germinal center transcriptional programs are de-synchronized in B cell lymphoma,Human follicular lymphomas arise from germinal center B cells. Milpied and colleagues use single-cell transcriptomic analysis to show that follicular lymphoma cells lose synchronized gene-expression patterns that characterize normal germinal center B cells.,Pierre MilpiedIñaki Cervera-MarzalBertrand Nadel,13 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0181-4/MediaObjects/41590_2018_181_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0181-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Epigenetic control of innate and adaptive immune memory,Natural killer (NK) cells can acquire ‘memory’ signatures. Sun and colleagues examine the dynamic ATAC-seq and functional RNA-seq changes observed upon generation of NK cell memory and show distinct roles for transcription factors STAT1 and STAT4.,Colleen M. LauNicholas M. AdamsJoseph C. Sun,06 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0176-1/MediaObjects/41590_2018_176_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0176-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IL-9 receptor signaling in memory B cells regulates humoral recall responses,Signaling via the cytokine IL-9 receptor regulates humoral recall responses. Kitamura and colleagues report that IL-9 triggers memory B cells to proliferate and terminally differentiate into antibody-secreting cells rather than re-entering germinal centers.,Shogo TakatsukaHiroyuki YamadaDaisuke Kitamura,06 Aug 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0177-0/MediaObjects/41590_2018_177_Fig1_HTML.png,https://www.nature.com/articles/s41590-018-0177-0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Epithelial damage and tissue γδ T cells promote a unique tumor-protective IgE response,Evidence of protective and homeostatic roles for IgE is relatively limited. Strid and colleagues demonstrate that γδ T cells induce switching to IgE that provides protection against experimentally induced epithelial cancer.,Greg CrawfordMark David HayesJessica Strid,16 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0161-8/MediaObjects/41590_2018_161_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0161-8,1,0,1,1,0,0,0,0,0,0,0,0,0,0
TCRs are randomly distributed on the plasma membrane of resting antigen-experienced T cells,TCRs are often thought to be pre-clustered before T cell activation. Rossboth et al. use super-resolution microscopy and statistical image analysis to demonstrate that TCRs are in fact randomly distributed on resting T cells.,Benedikt RossbothAndreas M. ArnoldGerhard J. Schütz,16 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0162-7/MediaObjects/41590_2018_162_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0162-7,1,0,1,0,0,1,0,0,0,0,0,0,0,0
T cell cytolytic capacity is independent of initial stimulation strength,"Lymphocytes interpret antigenic signals into a functional response. Richard et al. demonstrate that the overall qualitative response by CTLs is independent of TCR ligand strength; instead, ligands determine the rate and uniformity at which CTLs respond.",Arianne C. RichardAaron T. L. LunGillian M. Griffiths,16 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0160-9/MediaObjects/41590_2018_160_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0160-9,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Maintenance of CD4 T cell fitness through regulation of Foxo1,Foxo proteins are required for maintaining T cell quiescence. Turka and colleagues use a constitutively active Foxo1 in Treg cells to show that its downregulation is essential for maintaining their fitness in a competitive environment.,Ryan H. NewtonSharad ShresthaLaurence A. Turka,09 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0157-4/MediaObjects/41590_2018_157_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0157-4,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Translational repression of pre-formed cytokine-encoding mRNA prevents chronic activation of memory T cells,Wolkers and colleagues show that the RNA-binding protein ZFP36L2 represses the translation of pre-formed cytokine-encoding mRNAs in memory T cells.,Fiamma SalernoSander EngelsMonika C. Wolkers,09 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0155-6/MediaObjects/41590_2018_155_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0155-6,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Second signals rescue B cells from activation-induced mitochondrial dysfunction and death,B cells need at least two signals to terminally differentiate into antibody-secreting cells. Pierce and colleagues show that persistent exposure to antigen in the absence of T cell help or ‘pathogen pattern motifs’ leads to B cell death via a calcium-dependent ‘metabolic timer’.,Munir AkkayaJavier TrabaSusan K. Pierce,09 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0156-5/MediaObjects/41590_2018_156_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0156-5,0,1,1,1,0,0,0,0,0,0,1,0,0,0
The transcription factor Rfx7 limits metabolism of NK cells and promotes their maintenance and immunity,"Regulatory factor X (RFX) is a transcription factor family comprising seven known members, yet the functional roles of RFX7 remain unknown. Guarda and colleagues show that RFX7 regulates natural killer (NK) cell survival and activity by limiting their cellular metabolism.",Wilson CastroSonia T. ChelbiGreta Guarda,02 Jul 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0144-9/MediaObjects/41590_2018_144_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0144-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinct progenitor lineages contribute to the heterogeneity of plasmacytoid dendritic cells,"Tussiwand and colleagues show that pDCs develop predominantly from IL-7R+ lymphoid progenitor cells and that mature pDCs are transcriptionally and functionally heterogenous, on the basis of their lymphoid or myeloid lineage.",Patrick Fernandes RodriguesLlucia Alberti-ServeraRoxane Tussiwand,20 Jun 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0136-9/MediaObjects/41590_2018_136_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0136-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clonal analysis of Salmonella-specific effector T cells reveals serovar-specific and cross-reactive T cell responses,"Typhoidal Salmonella is a major pathogen, but there is still a lack of knowledge about suitable vaccine antigens. Cerundolo and colleagues deep-phenotype bacteria-specific CD4+ T cells of Salmonella-infected volunteers to define cross-reactive and serovar-specific responses.",Giorgio NapolitaniPrathiba KurupatiVincenzo Cerundolo,20 Jun 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0133-z/MediaObjects/41590_2018_133_Fig1_HTML.gif,https://www.nature.com/articles/s41590-018-0133-z,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The E3 ligases Itch and WWP2 cooperate to limit TH2 differentiation by enhancing signaling through the TCR,Liu and colleagues show that the ubiquitin E3 ligases Itch and WWP2 act together in regulating the strength of the TCR signal and differentiation toward the TH2 lineage.,Daisuke AkiHui LiYun-Cai Liu,20 Jun 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0137-8/MediaObjects/41590_2018_137_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0137-8,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Suppression of IL-17F, but not of IL-17A, provides protection against colitis by inducing Treg cells through modification of the intestinal microbiota","The cytokines IL-17A and IL-17F bind via same receptor. Iwakura and colleagues demonstrate different functions for IL-17A and IL-17F in the gut, with the latter altering the production of antimicrobial peptides with consequent effects on the microbiota, the induction of Treg cells and immune-system homeostasis.",Ce TangShigeru KakutaYoichiro Iwakura,18 Jun 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0134-y/MediaObjects/41590_2018_134_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0134-y,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Blockade of the checkpoint receptor TIGIT prevents NK cell exhaustion and elicits potent anti-tumor immunity,TIGIT is a co-inhibitory receptor associated with T cell exhaustion. Tian and colleagues demonstrate that TIGIT is the predominant inhibitory receptor on NK cells in both humans and mice and that its blockade enhances NK cell–dependent rejection of tumors in experimental models.,Qing ZhangJiacheng BiZhigang Tian,18 Jun 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0132-0/MediaObjects/41590_2018_132_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0132-0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lck promotes Zap70-dependent LAT phosphorylation by bridging Zap70 to LAT,"TCR signaling initiates a signaling cascade involving the kinases Lck and Zap70 and the adaptor LAT. Weiss and colleagues discover a proline-rich motif in LAT, which facilitates interactions among Lck, LAT and Zap70 for efficient TCR signaling.",Wan-Lin LoNeel H. ShahArthur Weiss,18 Jun 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0131-1/MediaObjects/41590_2018_131_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0131-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Chemokines and integrins independently tune actin flow and substrate friction during intranodal migration of T cells,"Sixt, Stein and colleagues show that during T cell migration within lymphatic organs, the chemokine receptor CCR7 quantitatively controls the speed of a continuous actin flow, which is coupled to the environment by the integrin LFA-1.",Miroslav HonsAglaja KopfMichael Sixt,18 May 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0109-z/MediaObjects/41590_2018_109_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0109-z,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CARD9S12N facilitates the production of IL-5 by alveolar macrophages for the induction of type 2 immune responses,"CARD9 serves as an adaptor for C-type lectin receptor signaling. Xin Lin and colleagues show that CARD9 inhibits RelB-mediated IL-5 expression. The CARD9S12N mutant, prevalent in humans, cannot interact with RelB and promotes enhanced allergic responses to fungal pathogens.",Xia XuJin-Fu XuXin Lin,18 May 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0112-4/MediaObjects/41590_2018_112_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0112-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Semaphorin 6D reverse signaling controls macrophage lipid metabolism and anti-inflammatory polarization,Semaphorins play well-known roles in axon guidance. Kumanogoh and colleagues demonstrate that Semaphorin 6D cell-intrinsically activates anti-inflammatory macrophage polarization.,Sujin KangYoshimitsu NakanishiAtsushi Kumanogoh,18 May 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0108-0/MediaObjects/41590_2018_108_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0108-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross-specificity of protective human antibodies against Klebsiella pneumoniae LPS O-antigen,Carbohydrate-specific antibodies are typically thought to be of low affinity and produced by T cell–independent pathways. Wardemann and colleagues identify human memory B cells that can produce specific ‘affinity-matured’ antibodies to the O antigen of Klebsiella lipopolysaccharides.,Tim RollenskeValeria SzijartoHedda Wardemann,14 May 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0106-2/MediaObjects/41590_2018_106_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0106-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apoptotic cell–induced AhR activity is required for immunological tolerance and suppression of systemic lupus erythematosus in mice and humans,"McGaha and colleagues show that phagocytosis of apoptotic cells leads to activation of the transcription factor AhR and production of the cytokine IL-10 in phagocytes, in a manner dependent on the recognition of DNA.",Rahul ShindeKebria HezavehTracy L. McGaha,14 May 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0107-1/MediaObjects/41590_2018_107_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0107-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear pore complex-mediated modulation of TCR signaling is required for naïve CD4+ T cell homeostasis,"D’Angelo and colleagues show that the nucleoporin Nup210 plays a specific role in naïve CD4+ T cell homeostasis by regulating expression of Caveolin-2, which is required for tonic TCR signaling.",Joana BorlidoStephen SakumaMaximiliano A. D’Angelo,07 May 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0103-5/MediaObjects/41590_2018_103_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0103-5,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Atherogenic dyslipidemia promotes autoimmune follicular helper T cell responses via IL-27,Dyslipidemia and autoimmune disease are often associated. Chung and colleagues demonstrate a mechanistic pathway by which dyslipidemia leads to the induction of pathogenic autoantibodies.,Heeju RyuHoyong LimYeonseok Chung,30 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0102-6/MediaObjects/41590_2018_102_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0102-6,0,0,1,0,0,0,0,0,0,0,1,0,0,0
γδ T cells producing interleukin-17A regulate adipose regulatory T cell homeostasis and thermogenesis,"Lynch, Brenner and colleagues find that tissue-resident γδ T cells reside in adipose tissues in both mice and humans. These cells play essential roles in regulating thermogenesis and supporting age-dependent increases in adipose-tissue regulatory T cell populations.",Ayano C. KohlgruberShani T. Gal-OzLydia Lynch,18 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0094-2/MediaObjects/41590_2018_94_Fig1_HTML.gif,https://www.nature.com/articles/s41590-018-0094-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Resistance of HIV-infected macrophages to CD8+ T lymphocyte–mediated killing drives activation of the immune system,Macrophages can be an important niche for chronic viral infection. Walker and colleagues demonstrate that macrophages are intrinsically resistant to CTL-mediated killing and can thereby contribute to the maintenance of HIV reservoirs and chronic inflammation.,Kiera L. ClaytonDavid R. CollinsBruce D. Walker,18 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0085-3/MediaObjects/41590_2018_85_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0085-3,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Distinct myeloid cell subsets promote meningeal remodeling and vascular repair after mild traumatic brain injury,"Meningeal vascular damage accompanies mild traumatic brain injury, which persists in a fraction of patients. McGavern and colleagues report that distinct myeloid cell subsets are temporally recruited to the wound site during tissue repair; however, re-injury at early time points impairs recovery.",Matthew V. RussoLawrence L. LatourDorian B. McGavern,16 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0086-2/MediaObjects/41590_2018_86_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0086-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monomeric TCRs drive T cell antigen recognition,Higher-order TCRs have been postulated to maintain high antigen sensitivity and trigger signaling. Huppa and colleagues use various investigative techniques and find exclusively monomeric TCR–CD3 complexes that drive the recognition of antigenic pMHC.,Mario BrameshuberFlorian KellnerJohannes B. Huppa,16 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0092-4/MediaObjects/41590_2018_92_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0092-4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
c-Maf controls immune responses by regulating disease-specific gene networks and repressing IL-2 in CD4+ T cells,The transcription factor c-Maf controls IL-10 production in T cells. O’Garra and colleagues use systems and in vivo functional analysis of T cell subsets to reveal distinct context-specific roles for c-Maf.,Leona GabryšováMarisol Alvarez-MartinezAnne O’Garra,16 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0083-5/MediaObjects/41590_2018_83_Fig1_HTML.gif,https://www.nature.com/articles/s41590-018-0083-5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Peptide-specific recognition of human cytomegalovirus strains controls adaptive natural killer cells,"NK cells constrain infection by cytomegalovirus. Romagnani and colleagues show that human NKG2C+ NK cells recognize distinct HCMV UL40 viral peptides, which can vary among viral isolates. NKG2C+ NK cells thereby demonstrate adaptive-like recognition that can discriminate between closely related viral strains.",Quirin HammerTimo RückertChiara Romagnani,09 Apr 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0082-6/MediaObjects/41590_2018_82_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0082-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-17-receptor-associated adaptor Act1 directly stabilizes mRNAs to mediate IL-17 inflammatory signaling,Act1 is an adaptor protein that associates with the IL-17 receptor at the cell membrane. Li and colleagues show that Act1 also exhibits unexpected RNA-binding activity and directly stabilizes select mRNAs encoding inflammatory cytokines and chemokines.,Tomasz HerjanLingzi HongXiaoxia Li,21 Mar 2018,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-018-0071-9/MediaObjects/41590_2018_71_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-018-0071-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
