Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,HLA
"Blocking elevated p38 MAPK restores efferocytosis and
inflammatory resolution in the elderly","Human aging is characterized by an elevated basal inflammatory state.
Gilroy and colleagues use a tractable in vivo human inflammation model to
demonstrate a mechanism whereby efferocytosis is impaired in the elderly but is
reversible by p38 inhibition.",Roel P. H. De MaeyerRachel C. van de MerweDerek W. Gilroy,06 Apr 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0646-0/MediaObjects/41590_2020_646_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0646-0,0,0,1,0,0,0,0,0,0,0
Tumor cells suppress radiation-induced immunity by hijacking caspase 9 signaling,Therapeutic irradiation can trigger DNA-sensing pathways and trigger antitumor immunity. Fu and colleagues demonstrate that tumors can co-opt intrinsic apoptotic pathways to avoid immunogenic cell death following irradiation.,Chuanhui HanZhida LiuYang-Xin Fu,30 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0641-5/MediaObjects/41590_2020_641_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0641-5,0,0,0,0,0,0,0,0,0,0
Sestrins induce natural killer function in senescent-like CD8+ T cells,"Akbar and colleagues show that sestrins induce the reprogramming of non-proliferative, senescent-like CD27–CD28–CD8+ T cells to acquire an innate-like killing activity modulated by the NK receptor NKG2D and the adaptor molecule DAP12.",Branca I. PereiraRoel P. H. De MaeyerArne N. Akbar,30 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0643-3/MediaObjects/41590_2020_643_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0643-3,1,0,1,0,0,0,1,0,0,0
Non-catalytic ubiquitin binding by A20 prevents psoriatic arthritis–like disease and inflammation,"The deubiquitinase A20 is a potent inhibitor of NF-κB signaling pathways. Ma and colleagues identify distinct roles for A20 ubiquitin-binding ZF4 and ZF7 domains, which exhibit different phenotypes upon mutation, but play synergistic roles in regulating inflammatory responses.",Bahram RazaniMichael I. WhangAveril Ma,16 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0634-4/MediaObjects/41590_2020_634_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0634-4,0,0,1,0,0,0,0,0,0,0
A molecular network regulating the proinflammatory phenotype of human memory T lymphocytes,Monticelli and colleagues analyze primary human CD4+ T cells to interrogate gene expression regulatory pathways that distinguish GM-CSF+ pathogenic programs from noninflammatory programs. They identify the transcriptional repressor BHLHE40 as an enforcer of proinflammatory gene expression by suppressing the NF-κB inhibitor miR-146a and the RNase ZC3H12D.,Stefan EmmingNiccolò BianchiSilvia Monticelli,16 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0622-8/MediaObjects/41590_2020_622_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0622-8,0,0,1,0,0,0,0,0,0,0
Reverse TCR repertoire evolution toward dominant low-affinity clones during chronic CMV infection,"Busch and colleagues use single-cell and bulk TCR sequencing and structural affinity analyses of CMV-specific T cells to show that the immunodominance of high-affinity T cell clones declines during chronic infection with CMV, likely due to cellular senescence.",Kilian SchoberFlorian VoitDirk H. Busch,16 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0628-2/MediaObjects/41590_2020_628_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0628-2,1,0,1,0,0,0,0,0,0,0
The MHC-II peptidome of pancreatic islets identifies key features of autoimmune peptides,"Unanue and colleagues examine the immunopeptidome of pancreatic islets in non-obese diabetic (NOD) mice, which spontaneously develop autoimmune diabetes, to reveal the key features of a restricted component in the self-MHC-II peptidome that causes autoreactivity.",Xiaoxiao WanAnthony N. VomundEmil R. Unanue,09 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0623-7/MediaObjects/41590_2020_623_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0623-7,0,0,1,0,0,1,0,0,0,0
PD-L1 engagement on T cells promotes self-tolerance and suppression of neighboring macrophages and effector T cells in cancer,PD-L1 on tumor cells exerts an important dampening effect on T cells via their expression of PD-1. Miller and colleagues find that PD-L1 ‘back-signaling’ into T cells and macrophages can also dampen immune responses within the tumor microenvironment.,Brian DiskinSalma AdamGeorge Miller,09 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0620-x/MediaObjects/41590_2020_620_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0620-x,0,0,1,0,0,1,1,0,0,0
The molecular basis underpinning the potency and specificity of MAIT cell antigens,Mucosal-associated invariant T (MAIT) cells recognize vitamin B metabolites presented by the molecule MR1. Rossjohn and colleagues generate multiple altered metabolite ligands and determine their structures in the context of MR1 and the TCR to develop a generalized framework for MAIT cell antigen recognition.,Wael AwadGeraldine J. M. LerJamie Rossjohn,02 Mar 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0616-6/MediaObjects/41590_2020_616_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0616-6,1,0,1,0,0,0,0,0,0,0
Germinal center B cells selectively oxidize fatty acids for energy while conducting minimal glycolysis,"Germinal center B cells can undergo rapid proliferation. Shlomchik and colleagues show that germinal center B cells, unlike other rapidly proliferating cells, do not depend on glycolysis, but rather increase their peroxisome content and rewire their cellular metabolism to exclusively utilize fatty acid oxidation for their energetic needs.",Florian J. WeiselSteven J. MullettMark J. Shlomchik,17 Feb 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0598-4/MediaObjects/41590_2020_598_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0598-4,0,0,1,1,0,0,0,0,0,0
HIV-1-induced cytokines deplete homeostatic innate lymphoid cells and expand TCF7-dependent memory NK cells,"HIV-1 infection is associated with persistent inflammation that can contribute to a variety of comorbidities. Luban and colleagues demonstrate that HIV-1 infection results in permanent depletion of innate lymphoid cells, leading to breakdown of gut barrier function and a feed-forward inflammation loop, which includes skewing of NK cells toward an inflammatory/memory phenotype.",Yetao WangLawrence LifshitzJeremy Luban,17 Feb 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0593-9/MediaObjects/41590_2020_593_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0593-9,0,0,1,0,0,0,0,0,0,0
CD36-mediated metabolic adaptation supports regulatory T cell survival and function in tumors,"Tumor environments are highly acidic due to high concentrations of lactic acid. Ho and colleagues report that tumor-infiltrating regulatory T cells adapt to this tumor environment by upregulating expression of CD36, which allows them to use fatty acids to fuel their metabolism.",Haiping WangFabien FrancoPing-Chih Ho,17 Feb 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0589-5/MediaObjects/41590_2019_589_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0589-5,0,0,1,0,0,0,0,0,0,0
Spatiotemporal regulation of type I interferon expression determines the antiviral polarization of CD4+ T cells,Iannacone and colleagues show that the spatiotemporal regulation of type I interferon expression shapes the differentiation of antiviral CD4+ T cells into TFH or TH1 cells.,Marco De GiovanniValeria CutilloMatteo Iannacone,17 Feb 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0596-6/MediaObjects/41590_2020_596_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0596-6,0,0,1,0,0,1,0,0,0,0
Developmental plasticity allows outside-in immune responses by resident memory T cells,"Tissue-resident memory (TRM) cells are generally stably maintained in discrete tissues or organs. Masopust and colleagues show that TRM cells can reenter the circulation, and exhibit considerable plasticity, although they retain a proclivity to reestablish themselves in their tissue of origin.",Raissa FonsecaLalit K. BeuraDavid Masopust,17 Feb 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0607-7/MediaObjects/41590_2020_607_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0607-7,0,0,1,0,0,0,0,0,0,0
EBF1-deficient bone marrow stroma elicits persistent changes in HSC potential,Grosschedl and colleagues identify a role for the transcription factor EBF1 in bone marrow stromal cells that is required to maintain the niche to support hematopoietic stem cells and hematopoiesis.,Marta DereckaJosip Stefan HermanRudolf Grosschedl,17 Feb 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0595-7/MediaObjects/41590_2020_595_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0595-7,0,0,0,0,0,0,0,0,0,0
Genome-wide CRISPR–Cas9 screening reveals ubiquitous T cell cancer targeting via the monomorphic MHC class I-related protein MR1,Identifying selective tumor-associated molecules that can act as targets for T cells is a major goal of immunotherapy. Sewell and colleagues demonstrate that the nonclassical MHC molecule MR1 is expressed on a wide variety of cancer types and can be targeted by conventional T cells.,Michael D. CrowtherGarry DoltonAndrew K. Sewell,20 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0578-8/MediaObjects/41590_2019_578_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0578-8,1,0,1,0,0,0,0,0,0,1
Aberrant B cell repertoire selection associated with HIV neutralizing antibody breadth,"A subset of HIV-infected individuals can develop broadly neutralizing antibodies. Boyd and colleagues studied such HIV-infected individuals and found significant perturbations in their antibody repertoires, including increased frequencies of B cells expressing antibodies with features associated with autoreactivity.",Krishna M. RoskinKatherine J. L. JacksonScott D. Boyd,20 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0581-0/MediaObjects/41590_2019_581_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0581-0,0,0,1,1,0,0,0,0,0,0
Environmental cues regulate epigenetic reprogramming of airway-resident memory CD8+ T cells,Kohlmeier and colleagues showed that the airway environment drove transcriptional and epigenetic changes that regulated the cytolytic functions of airway TRM cells and promoted their apoptosis due to amino acid starvation and activation of the integrated stress response.,Sarah L. HaywardChristopher D. ScharerJacob E. Kohlmeier,17 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0584-x/MediaObjects/41590_2019_584_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0584-x,0,0,1,0,0,0,0,0,0,0
Programmed ‘disarming’ of the neutrophil proteome reduces the magnitude of inflammation,"Hidalgo and colleagues describe a cell-intrinsic program that induces changes in the proteome, granule content and NET-forming capacity of neutrophils and is driven by the chemokine receptor CXCR2 and regulators of the circadian clock.",Jose M. AdroverAlejandra Aroca-CrevillénAndrés Hidalgo,13 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0571-2/MediaObjects/41590_2019_571_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0571-2,0,0,0,0,0,0,0,0,0,0
The phosphatase PAC1 acts as a T cell suppressor and attenuates host antitumor immunity,Yin and colleagues show that the phosphatase PAC1 (DUSP2) acts as a checkpoint in cytotoxic T cells to restrain their antitumor function.,Dan LuLiang LiuYuxin Yin,13 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0577-9/MediaObjects/41590_2019_577_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0577-9,0,0,1,0,0,0,0,0,0,0
Homeostatic regulation of STING protein at the resting state by stabilizer TOLLIP,"The protein STING has an essential function in intracellular DNA sensing, but how it is regulated under steady state is unclear. Yan and colleagues demonstrate that the protein TOLLIP stabilizes steady-state STING and facilitates its signaling.",Vladislav PokatayevKun YangNan Yan,13 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0569-9/MediaObjects/41590_2019_569_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0569-9,0,0,0,0,0,0,0,0,0,0
Influenza-induced monocyte-derived alveolar macrophages confer prolonged antibacterial protection,"Respiratory infections occur throughout life but how this shapes the lung immune system through time is unclear. Wack and colleagues show that a previous influenza infection recruits monocytes to the lung, which then assume an alveolar macrophage-like phenotype and mediate long-term antibacterial protection.",Helena AegerterJustina KulikauskaiteAndreas Wack,13 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0568-x/MediaObjects/41590_2019_568_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0568-x,0,0,0,0,0,0,0,0,0,0
T cell receptor and cytokine signal integration in CD8+ T cells is mediated by the protein Themis,T cell homeostasis requires integration of signals from antigen and cytokine receptors. Gascoigne and colleagues demonstrate that the protein Themis supports signals from low-affinity TCR ligands to maintain normal CD8+ cell function.,Joanna BrzostekNamrata GautamNicholas R. J. Gascoigne,13 Jan 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-019-0570-3/MediaObjects/41590_2019_570_Fig1_HTML.png,https://www.nature.com/articles/s41590-019-0570-3,0,0,1,0,0,0,1,0,0,0
Aging disrupts circadian gene regulation and function in macrophages,Blacher et al. examine the effect of aging on the myeloid circadian clock. They find that aging disrupts circadian transcriptional responses and identify KLF4 as a critical oscillating transcription factor that regulates macrophage gene expression and phagocytosis.,Eran BlacherConnie TsaiKatrin I. Andreasson,23 Dec 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01083-0/MediaObjects/41590_2021_1083_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01083-0,0,0,0,0,0,0,0,0,0,0
The kinase complex mTORC2 promotes the longevity of virus-specific memory CD4+ T cells by preventing ferroptosis,"Wang et al. show that the Rictor-dependent mTORC2–Akt pathway is needed to maintain CD4+ memory cells. This axis acts, in part, by suppressing mitoROS generation and subsequent oxidation of membrane phospholipids, which then triggers cell death by ferroptosis.",Yifei WangQin TianLilin Ye,23 Dec 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01090-1/MediaObjects/41590_2021_1090_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01090-1,0,0,1,0,0,1,0,0,0,0
Congenital iRHOM2 deficiency causes ADAM17 dysfunction and environmentally directed immunodysregulatory disease,"Kubo et al. report two kindreds that exhibit a deficiency of iRHOM2, which interacts with ADAM17, leading to defective release of TNF and CD62L and resulting in altered immune responses to opportunistic infections.",Satoshi KuboJill M. FritzMichael J. Lenardo,22 Dec 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01093-y/MediaObjects/41590_2021_1093_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01093-y,0,0,0,0,0,0,0,0,0,0
Children develop robust and sustained cross-reactive spike-specific immune responses to SARS-CoV-2 infection,"SARS-CoV-2 infection is milder in children, but direct comparison with adults is rare. Here the authors show that immune responses are higher in children, retained for 12 months or longer and can neutralize Alpha, Beta and Delta variants.",Alexander C. DowellMegan S. ButlerShamez Ladhani,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01089-8/MediaObjects/41590_2021_1089_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01089-8,0,0,1,0,0,0,0,0,0,0
TET deficiency perturbs mature B cell homeostasis and promotes oncogenesis associated with accumulation of G-quadruplex and R-loop structures,"Shukla, Samaniego-Castruita and colleagues show that loss of TET methylcytosine dioxygenases in B cells is associated with increased DNA–RNA hybrids and G-quadruplex DNA structures in parallel with genomic instability and development of germinal center-derived lymphomas.",Vipul ShuklaDaniela Samaniego-CastruitaAnjana Rao,22 Dec 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01087-w/MediaObjects/41590_2021_1087_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01087-w,0,0,0,1,0,0,0,0,0,0
Identification of RIOK2 as a master regulator of human blood cell development,"Ghosh et al. report findings showing that the atypical kinase RIOK2 functions as a winged helix-turn-helix domain containing transcription factor that regulates the differentiation of human hematopoietic stem and progenitor cells toward erythroid, myeloid and megakaryocytic lineages. RIOK2 enhances GATA1 and KLF1 expression, while suppressing other transcription factors like RUNX3, SPI1 and GATA2.",Shrestha GhoshMahesh RaundhalLaurie H. Glimcher,22 Dec 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01079-w/MediaObjects/41590_2021_1079_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01079-w,0,0,0,0,0,0,0,0,0,0
An immunodominant NP105–113-B*07:02 cytotoxic T cell response controls viral replication and is associated with less severe COVID-19 disease,"Peng et al. find that immunodominant cytotoxic T lymphocytes (CTLs) specific for NP105–113-B*07:02 are associated with reduced COVID-19 severity. Mechanistically, NP105–113-B*07:02-specific CTLs show potent antiviral functionality and may represent rational T cell vaccine targets.",Yanchun PengSuet Ling FelceTao Dong,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01084-z/MediaObjects/41590_2021_1084_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01084-z,0,0,1,0,0,0,1,0,0,0
Targeting BMI-1 in B cells restores effective humoral immune responses and controls chronic viral infection,Chronic viral infection leads to a dysregulation of germinal center B cell responses. Di Pietro et al. show that the epigenetic modifier BMI-1 promotes this dysfunctional response and that targeting BMI-1 in B cells can restore humoral immunity and accelerate viral clearance.,Andrea Di PietroJack PolmearKim L. Good-Jacobson,29 Nov 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01077-y/MediaObjects/41590_2021_1077_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01077-y,0,0,0,1,0,0,0,0,0,0
Mitochondrial aspartate regulates TNF biogenesis and autoimmune tissue inflammation,"Mitochondrial aspartate regulates ER morphology and co-translational translocation via BiP ADP ribosylation. In T cells from patients with rheumatoid arthritis, mitochondrial aspartate is deficient, resulting in ER expansion and excessive production of the pro-inflammatory cytokine TNF.",Bowen WuTuantuan V. ZhaoCornelia M. Weyand,22 Nov 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01065-2/MediaObjects/41590_2021_1065_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01065-2,0,0,1,0,0,0,0,0,0,0
Robust IgM responses following intravenous vaccination with Bacille Calmette–Guérin associate with prevention of Mycobacterium tuberculosis infection in macaques,Alter and colleagues show that IgM titers in the plasma and bronchoalveolar lavage fluid represent markers of reduced Mtb burden in rhesus macaques vaccinated intravenously with Bacille Calmette–Guérin.,Edward B. IrvineAnthony O’NeilGalit Alter,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01066-1/MediaObjects/41590_2021_1066_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01066-1,0,0,0,0,0,0,0,0,0,0
Disrupting Roquin-1 interaction with Regnase-1 induces autoimmunity and enhances antitumor responses,Mutations in the RNA-binding proteins Roquin-1 or Regnase-1 cause systemic autoimmunity. Heissmeyer and colleagues show that Roquin-1 and Regnase-1 physically interact and thereby regulate CD4+ and CD8+ T cell metabolism and functionality.,Gesine BehrensStephanie L. EdelmannVigo Heissmeyer,22 Nov 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01064-3/MediaObjects/41590_2021_1064_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01064-3,0,0,1,1,0,0,0,0,0,0
Dynamic CD4+ T cell heterogeneity defines subset-specific suppression and PD-L1-blockade-driven functional restoration in chronic infection,"Snell et al. examine the heterogeneity of CD4+ T cells in chronic viral infection, showing that PD-L1 blockade enhances a cytotoxic gene program in antigen-specific TH1 cells and can restore antiviral CD4+ T cell killer function.",Laura M. SnellWenxi XuDavid G. Brooks,18 Nov 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01060-7/MediaObjects/41590_2021_1060_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01060-7,0,0,1,0,0,1,0,0,0,0
Homeostatic IL-13 in healthy skin directs dendritic cell differentiation to promote TH2 and inhibit TH17 cell polarization,"Ronchese and colleagues show that IL-13 secreted homeostatically by dermal ILCs contributes to the differentiation of a CD11blo type 2 dendritic cell subset, which supports the development of TH2 cells and curtails the development of TH17 cells in the skin of mice and humans.",Johannes U. MayerKerry L. HilliganFranca Ronchese,18 Nov 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01067-0/MediaObjects/41590_2021_1067_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01067-0,0,0,1,0,0,0,0,0,0,0
Autocrine vitamin D signaling switches off pro-inflammatory programs of TH1 cells,During homeostasis TH1 cells activate a cell-intrinsic inflammatory shutdown program and shift to IL-10 production. Chauss et al. find that this TH1 homeostatic program is dependent on vitamin D signaling and is disrupted in severe COVID-19.,Daniel ChaussTilo FreiwaldBehdad Afzali,11 Nov 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01080-3/MediaObjects/41590_2021_1080_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01080-3,0,0,1,0,0,1,0,0,0,0
Low-dose in vivo protection and neutralization across SARS-CoV-2 variants by monoclonal antibody combinations,Krebs and colleagues identify multiple mAbs that recognize either the RBD or the NTD of SARS-CoV-2 spike protein that have potent cross-neutralizing activities against variants of concern. Combinatorial mAb cocktails have complementary effects on viral neutralization and Fc effector functions and can protect against SARS-CoV-2 escape mutants.,Vincent DussuptRajeshwer S. SankhalaShelly J. Krebs,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01068-z/MediaObjects/41590_2021_1068_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01068-z,0,0,0,0,0,0,0,0,0,0
Tumor-induced reshuffling of lipid composition on the endoplasmic reticulum membrane sustains macrophage survival and pro-tumorigenic activity,Tumor-associated macrophages support an immunosuppressive tumor microenvironment. Di Conza et al. uncover how IRE1–XBP1 and IRE1−STAT3 endoplasmic reticulum stress responses pathways are engaged by tumor-derived lipids to orchestrate pro-tumorigenic features and survival in tumor-associated macrophages.,Giusy Di ConzaChin-Hsien TsaiPing-Chih Ho,22 Oct 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01047-4/MediaObjects/41590_2021_1047_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01047-4,0,0,0,0,0,0,0,0,0,0
Epithelial cells remove precancerous cells by cell competition via MHC class I–LILRB3 interaction,"Epithelial cells can use an immune-like mechanism to extrude neighboring precancerous cells; however, the recognition and control mechanisms of this process are unclear. Maruyama and colleagues demonstrate that LILRB3 on normal epithelial cells recognizes elevated MHC class I on transformed cells and triggers the extrusion process.",Shiyu AyukawaNagisa KamoshitaTakeshi Maruyama,22 Oct 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01045-6/MediaObjects/41590_2021_1045_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01045-6,0,0,1,0,0,0,1,0,0,0
Mitochondrial complex II in intestinal epithelial cells regulates T cell-mediated immunopathology,"Intestinal epithelial cell (IEC) damage by T cells contributes to alloimmune, autoimmune and iatrogenic diseases such as graft-versus-host and inflammatory bowel disease. Here the authors identify a critical role for the alteration of the IEC-specific mitochondrial complex II component succinate dehydrogenase A in the regulation of the severity of T cell-mediated intestinal diseases.",Hideaki FujiwaraKeisuke SeikePavan Reddy,22 Oct 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01048-3/MediaObjects/41590_2021_1048_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01048-3,0,0,1,0,0,0,0,0,0,0
Altered ISGylation drives aberrant macrophage-dependent immune responses during SARS-CoV-2 infection,"The antiviral factor ISG15 can be conjugated to other proteins through ISGylation. Sanyal and colleagues find that viruses can modulate ISGylation, which in turn alters macrophage responses and can result in exaggerated inflammation in COVID-19.",Deeksha MunnurQiwen TeoSumana Sanyal,18 Oct 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01035-8/MediaObjects/41590_2021_1035_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01035-8,0,0,0,0,0,0,0,0,0,0
Transmission of trained immunity and heterologous resistance to infections across generations,Transgenerational transmission of acquired immunological traits has been demonstrated in invertebrates and plants but not mammals. Katzmarski et al. demonstrate that trained immunity that protects against heterologous infections can be transmitted to F2 offspring.,Natalie KatzmarskiJorge Domínguez-AndrésMihai G. Netea,18 Oct 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01052-7/MediaObjects/41590_2021_1052_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01052-7,0,0,0,0,0,0,0,0,0,0
The legacy of maternal SARS-CoV-2 infection on the immunology of the neonate,"Many babies have now been born to mothers who were exposed to SARS-CoV-2 during their pregnancy. Here the authors look at the effect of this exposure on the immunology of human neonates, showing immune changes and increased neonatal cytokine responses despite limited evidence of vertical transmission.",Sarah GeeManju ChandiramaniDeena L. Gibbons,06 Oct 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01049-2/MediaObjects/41590_2021_1049_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01049-2,0,0,1,1,0,1,1,0,0,0
OCT2 pre-positioning facilitates cell fate transition and chromatin architecture changes in humoral immunity,"Elemento, Melnick and colleagues examine the chromatin and transcriptional changes that occur during differentiation of human primary B cells into antibody-secreting cells. In naive B cells, the transcription factor OCT2 is preloaded at high-affinity super-enhancer sites present in repressed ‘silent’ chromatin; upon activation, OCAB is recruited to these regions, where it facilitates arrays of OCT2 binding to lower-affinity octamer motifs, leading to active formation of germinal center B cell-specific super-enhancers.",Ashley S. DoaneChi-Shuen ChuOlivier Elemento,23 Sept 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01025-w/MediaObjects/41590_2021_1025_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01025-w,0,0,0,1,0,0,0,0,0,0
Macrophage IRX3 promotes diet-induced obesity and metabolic inflammation,"Adipose tissue macrophages are intimately involved with adipocytes to orchestrate whole-body energy metabolism. Qiu and colleagues show that myeloid-specific deletion of the homeobox protein IRX3 protects against diet-induced obesity, excessive proinflammatory cytokine secretion and metabolic diseases via increasing adaptive thermogenesis.",Jingfei YaoDongmei WuYifu Qiu,23 Sept 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01023-y/MediaObjects/41590_2021_1023_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01023-y,0,0,1,0,0,0,0,0,0,0
Antimicrobial immunity impedes CNS vascular repair following brain injury,"Traumatic brain injury and stroke are commonly complicated by systemic infections, which impede recovery and lead to poor clinical outcomes. Using a mouse model, McGavern and colleagues show systemic microbial infections impair central nervous system revascularization and repair by a mechanism involving type I interferon signaling.",Panagiotis MastorakosMatthew V. RussoDorian B. McGavern,23 Sept 2021,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01012-1/MediaObjects/41590_2021_1012_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01012-1,0,0,0,0,0,0,0,0,0,0
